id,title,title_en,image_url,chapters,publishing,published_from,published_to,score,scored_by,members,favorites,author
1768,Delicious!,Delicious!,https://cdn.myanimelist.net/images/manga/3/1897.jpg,0,False,1996-04-01T00:00:00+00:00,1999-05-01T00:00:00+00:00,0.0,0,360,3,2389
1769,Otenki Oneesan,Weather Woman,https://cdn.myanimelist.net/images/manga/1/113105.jpg,0,False,1992-01-01T00:00:00+00:00,,0.0,0,224,1,2105
1770,Takumi-kun Series,Takumi-kun; June Pride; Barefoot Waltz; Tales out of Season,https://cdn.myanimelist.net/images/manga/3/5218.jpg,0,True,2001-01-01T00:00:00+00:00,,7.25,430,1393,16,2281
1771,Jungle Taitei,"Kimba, the white Lion",https://cdn.myanimelist.net/images/manga/3/163741.jpg,23,False,1950-11-01T00:00:00+00:00,1954-04-01T00:00:00+00:00,7.14,789,2012,22,1938
1772,Tenma no Ketsuzoku,Crystal Lord Opera,https://cdn.myanimelist.net/images/manga/3/1900.jpg,0,False,1992-01-01T00:00:00+00:00,2000-01-01T00:00:00+00:00,7.24,124,555,1,2873
1773,Tetsunabe no Jan,Iron Wok Jan!,https://cdn.myanimelist.net/images/manga/1/150687.jpg,251,False,1995-06-01T00:00:00+00:00,2000-03-01T00:00:00+00:00,7.2,339,1242,21,3156
1774,Eensy-Weensy Monster,Eensy-Weensy Monster,https://cdn.myanimelist.net/images/manga/1/180612.jpg,12,False,2006-10-24T00:00:00+00:00,2007-09-22T00:00:00+00:00,7.46,1748,3255,21,1885
1775,Good Morning Kiss,,https://cdn.myanimelist.net/images/manga/1/172511.jpg,0,True,2006-05-09T00:00:00+00:00,,7.49,658,2412,5,2795
1778,Shinigami no Ballad.,Ballad of a Shinigami,https://cdn.myanimelist.net/images/manga/1/209216.jpg,12,False,2005-05-24T00:00:00+00:00,2007-02-10T00:00:00+00:00,7.55,776,2264,24,2535
1779,Hoero Pen,,https://cdn.myanimelist.net/images/manga/2/208999.jpg,57,False,2000-07-19T00:00:00+00:00,2004-09-18T00:00:00+00:00,7.24,237,813,6,2479
1780,Legend of Lemnear,Legend of Lemnear,https://cdn.myanimelist.net/images/manga/3/259436.jpg,18,False,1991-09-07T00:00:00+00:00,1992-02-06T00:00:00+00:00,6.24,665,1511,12,2067
1781,Ohisama no Hana,,https://cdn.myanimelist.net/images/manga/3/1909.jpg,5,False,,,6.9,310,636,1,2555
1782,Tenshi no Pocket,,https://cdn.myanimelist.net/images/manga/4/103749.jpg,4,False,,,7.15,391,747,1,2555
1783,Fukuin,The Gospel,https://cdn.myanimelist.net/images/manga/2/2113.jpg,4,False,2001-08-01T00:00:00+00:00,,5.88,195,357,1,3181
1784,Kuchibiru Tameiki Sakurairo,,https://cdn.myanimelist.net/images/manga/1/73503.jpg,14,False,2003-06-28T00:00:00+00:00,2012-01-21T00:00:00+00:00,7.47,4722,11316,100,3182
1785,Happy★Lesson: Mama Sensei wa Saikou!,Happy★Lesson: Mama Teacher Is Wonderful!,https://cdn.myanimelist.net/images/manga/3/154184.jpg,20,False,2001-05-21T00:00:00+00:00,2004-03-20T00:00:00+00:00,6.56,175,679,5,2088
1786,Medarot,,https://cdn.myanimelist.net/images/manga/3/171501.jpg,0,False,1997-05-15T00:00:00+00:00,1999-03-15T00:00:00+00:00,6.62,171,558,6,21735
1788,Shuffle!,Shuffle!,https://cdn.myanimelist.net/images/manga/1/157292.jpg,36,False,2003-12-01T00:00:00+00:00,2006-12-01T00:00:00+00:00,7.49,604,2372,24,3187
1789,Captain Tsubasa,,https://cdn.myanimelist.net/images/manga/2/29157.jpg,114,False,1981-03-31T00:00:00+00:00,1988-04-26T00:00:00+00:00,7.49,2916,6219,161,3927
1790,Captain Tsubasa: World Youth-hen,,https://cdn.myanimelist.net/images/manga/5/29151.jpg,64,False,1994-04-05T00:00:00+00:00,1997-08-12T00:00:00+00:00,7.75,1491,2520,66,3927
1791,Captain Tsubasa: Road to 2002,,https://cdn.myanimelist.net/images/manga/2/175810.jpg,145,False,2000-12-01T00:00:00+00:00,2004-05-13T00:00:00+00:00,7.48,1203,2173,19,3927
1792,Captain Tsubasa: Golden-23,,https://cdn.myanimelist.net/images/manga/5/153537.jpg,113,False,2005-01-01T00:00:00+00:00,2009-01-01T00:00:00+00:00,7.39,932,1794,15,3927
1794,090: Eko to Issho,,https://cdn.myanimelist.net/images/manga/2/54095.jpg,60,False,2005-08-17T00:00:00+00:00,2006-11-15T00:00:00+00:00,6.44,1304,2977,9,3183
1795,Sakura Rhythm,,https://cdn.myanimelist.net/images/manga/2/1922.jpg,5,False,2003-01-01T00:00:00+00:00,,7.21,1048,2020,3,3188
1796,Dawn: Tsumetai Te,,https://cdn.myanimelist.net/images/manga/3/150345.jpg,37,False,2002-04-27T00:00:00+00:00,2007-08-28T00:00:00+00:00,7.04,1964,6172,37,3184
1797,Dakishimetakunai,,https://cdn.myanimelist.net/images/manga/3/1929.jpg,6,False,2002-01-01T00:00:00+00:00,,7.17,1739,3444,7,2625
1798,Yume Yume * You You,Dream Dream You You,https://cdn.myanimelist.net/images/manga/1/1997.jpg,13,False,2005-12-01T00:00:00+00:00,2007-01-01T00:00:00+00:00,6.74,540,1204,11,2398
1799,Angel Hunt,Angel Hunt,https://cdn.myanimelist.net/images/manga/2/4563.jpg,0,False,2002-03-01T00:00:00+00:00,2004-06-01T00:00:00+00:00,6.73,116,326,2,2728
1800,Eat-Man,Eat-Man,https://cdn.myanimelist.net/images/manga/2/173371.jpg,101,False,1996-01-27T00:00:00+00:00,2003-07-26T00:00:00+00:00,7.52,904,3487,47,2054
1801,Kamisama no Iutoori,,https://cdn.myanimelist.net/images/manga/1/150338.jpg,9,False,2002-01-01T00:00:00+00:00,2003-01-01T00:00:00+00:00,7.35,3392,6602,51,2550
1802,Cat Street,,https://cdn.myanimelist.net/images/manga/2/176481.jpg,36,False,2004-07-13T00:00:00+00:00,2007-09-13T00:00:00+00:00,8.25,13853,32106,1019,2571
1803,Byakuya Zoushi,Tale of a White Night,https://cdn.myanimelist.net/images/manga/4/16314.jpg,5,False,2006-12-01T00:00:00+00:00,,6.73,563,1289,1,2243
1804,Magic Kaito,,https://cdn.myanimelist.net/images/manga/1/164654.jpg,0,True,1987-05-27T00:00:00+00:00,,7.79,3112,7780,269,2804
1808,Ogawa to Yukai na Saitou-tachi,,https://cdn.myanimelist.net/images/manga/1/171055.jpg,45,False,2006-03-17T00:00:00+00:00,2011-10-17T00:00:00+00:00,7.33,351,928,6,3190
1809,Tomodachi,,https://cdn.myanimelist.net/images/manga/2/1945.jpg,13,False,,,7.27,968,1917,8,3191
1810,Beautiful Name,,https://cdn.myanimelist.net/images/manga/2/1948.jpg,3,False,2005-01-01T00:00:00+00:00,,7.03,880,1446,1,3189
1814,Switch Girl!!,,https://cdn.myanimelist.net/images/manga/1/128769.jpg,170,False,2006-08-19T00:00:00+00:00,2014-01-04T00:00:00+00:00,7.46,6961,21235,325,2112
1815,Tsuki no Toiki Ai no Kizu,Tail of the Moon: The Other Hanzo(u),https://cdn.myanimelist.net/images/manga/3/10208.jpg,8,False,2002-01-01T00:00:00+00:00,,7.57,1516,3019,14,3091
1818,Akihabara Dennou-gumi Patapi!,,https://cdn.myanimelist.net/images/manga/1/44015.jpg,11,False,1997-12-29T00:00:00+00:00,1998-11-02T00:00:00+00:00,0.0,0,154,2,2965
1819,.hack//Alcor: Hagun no Jokyoku,.hack//Alcor,https://cdn.myanimelist.net/images/manga/1/162793.jpg,7,False,2006-07-26T00:00:00+00:00,2007-01-18T00:00:00+00:00,6.58,1083,2500,17,4565
1820,Hoshigari Love Dollar,,https://cdn.myanimelist.net/images/manga/1/1958.jpg,9,False,2003-01-01T00:00:00+00:00,,6.91,836,1743,1,3894
1822,Kanon,,https://cdn.myanimelist.net/images/manga/1/1960.jpg,6,False,2000-10-21T00:00:00+00:00,2002-05-21T00:00:00+00:00,7.06,979,2538,20,2885
1823,Banya: The Explosive Delivery Man,Banya: The Explosive Delivery Man,https://cdn.myanimelist.net/images/manga/2/263641.jpg,38,False,2004-08-17T00:00:00+00:00,2006-03-04T00:00:00+00:00,7.11,1572,3719,18,3193
